cleaned_zip,Cat,Dog,Goat,Pig,state,population,median_income,percent_rentals,total_animals,percent_dogs,percent_cats
98001,0,1,0,0,WA,31911,71746,0.210952085,1,1,0
98003,2,0,0,0,WA,44151,45894,0.475699718,2,0,1
98004,2,8,0,0,WA,27946,93521,0.402341864,10,0.8,0.2
98005,0,2,0,0,WA,17714,84774,0.393804213,2,1,0
98006,0,3,0,0,WA,36364,110290,0.189907134,3,1,0
98007,1,2,0,0,WA,24889,73162,0.575391051,3,0.666666667,0.333333333
98012,1,3,0,0,WA,51136,88283,0.273809524,4,0.75,0.25
98013,1,0,0,0,WA,0,0,,1,0,1
98019,0,1,0,0,WA,10725,95025,0.114154082,1,1,0
98020,1,0,0,0,WA,18304,78083,0.24664544,1,0,1
98021,0,2,0,0,WA,26722,92138,0.210556402,2,1,0
98023,0,3,0,0,WA,47510,67906,0.326472873,3,1,0
98026,0,3,0,0,WA,35921,73220,0.27016424,3,1,0
98027,0,1,0,0,WA,26141,100644,0.251244666,1,1,0
98029,0,1,0,0,WA,24348,99974,0.261005674,1,1,0
98030,0,2,0,0,WA,33769,51446,0.470523589,2,1,0
98033,0,1,0,0,WA,34338,103250,0.330243756,1,1,0
98034,2,1,0,0,WA,40407,77688,0.365883669,3,0.333333333,0.666666667
98038,0,1,0,0,WA,31171,95043,0.138052165,1,1,0
98040,1,2,0,0,WA,22699,126359,0.253172205,3,0.666666667,0.333333333
98052,4,2,0,0,WA,58442,99192,0.406442315,6,0.333333333,0.666666667
98055,0,1,0,0,WA,21904,66461,0.416087597,1,1,0
98056,0,1,0,0,WA,32489,70683,0.410737669,1,1,0
98059,2,0,0,0,WA,34463,91465,0.20916641,2,0,1
98072,1,0,0,0,WA,22312,107654,0.209657903,1,0,1
98074,0,3,0,0,WA,25748,143686,0.104450906,3,1,0
98087,1,1,0,0,WA,29976,63639,0.435822113,2,0.5,0.5
98093,1,1,0,0,WA,0,0,,2,0.5,0.5
98101,151,162,0,0,WA,10238,42938,0.661391719,313,0.517571885,0.482428115
98102,348,386,0,0,WA,20756,65054,0.643362027,734,0.525885559,0.474114441
98103,905,886,0,0,WA,45911,75763,0.491462202,1791,0.494695701,0.505304299
98104,115,143,0,0,WA,13095,26637,0.782388795,258,0.554263566,0.445736434
98105,427,423,0,0,WA,43924,45560,0.608064798,850,0.497647059,0.502352941
98106,331,394,3,0,WA,22873,57875,0.413613614,725,0.543448276,0.456551724
98107,538,503,0,0,WA,21147,67566,0.531957929,1041,0.483189241,0.516810759
98108,167,243,2,0,WA,22374,52232,0.408835733,410,0.592682927,0.407317073
98109,408,478,0,0,WA,20715,77034,0.609449159,886,0.539503386,0.460496614
98110,0,1,0,0,WA,23025,95481,0.21239607,1,1,0
98111,1,0,0,0,WA,0,0,,1,0,1
98112,335,407,2,0,WA,21077,96054,0.417637882,742,0.54851752,0.45148248
98113,1,0,0,0,WA,0,0,,1,0,1
98114,0,2,0,0,WA,0,0,,2,1,0
98115,919,969,5,2,WA,46206,84159,0.336262313,1888,0.513241525,0.486758475
98116,397,513,0,0,WA,22241,74274,0.388261851,910,0.563736264,0.436263736
98117,718,765,2,0,WA,31365,86986,0.265883346,1483,0.515846258,0.484153742
98118,346,580,0,0,WA,42731,52276,0.387699542,926,0.626349892,0.373650108
98119,393,421,0,0,WA,21039,68383,0.534247757,814,0.517199017,0.482800983
98121,215,218,0,0,WA,12628,59355,0.627746576,433,0.503464203,0.496535797
98122,551,549,3,0,WA,31454,53570,0.604391754,1100,0.499090909,0.500909091
98124,1,1,0,0,WA,0,0,,2,0.5,0.5
98125,565,609,2,0,WA,37081,53044,0.479841516,1174,0.518739353,0.481260647
98126,314,464,0,0,WA,20698,66408,0.388985212,778,0.596401028,0.403598972
98127,3,2,0,0,WA,0,0,,5,0.4,0.6
98131,2,1,0,0,WA,0,0,,3,0.333333333,0.666666667
98133,366,385,2,1,WA,44555,51499,0.466191846,751,0.5126498,0.4873502
98134,5,8,0,0,WA,644,43151,0.584745763,13,0.615384615,0.384615385
98136,256,363,0,0,WA,14770,84344,0.324970131,619,0.586429725,0.413570275
98139,3,2,0,0,WA,0,0,,5,0.4,0.6
98144,316,392,1,0,WA,26881,55950,0.463981043,708,0.553672316,0.446327684
98145,3,0,0,0,WA,0,0,,3,0,1
98146,97,155,2,0,WA,25922,56809,0.348757582,252,0.615079365,0.384920635
98148,0,1,0,0,WA,10010,45424,0.525501308,1,1,0
98155,5,6,0,0,WA,32778,72281,0.291334052,11,0.545454545,0.454545455
98164,1,3,0,0,WA,141,73833,0.23015873,4,0.75,0.25
98165,2,0,0,0,WA,0,0,,2,0,1
98166,6,0,0,0,WA,20301,63320,0.316318552,6,0,1
98168,7,14,0,0,WA,33734,49233,0.421975919,21,0.666666667,0.333333333
98175,1,0,0,0,WA,0,0,,1,0,1
98177,121,177,1,0,WA,19030,95648,0.167120574,298,0.593959732,0.406040268
98178,50,81,2,0,WA,24092,58707,0.322497309,131,0.618320611,0.381679389
98188,0,2,0,0,WA,23111,40815,0.48599257,2,1,0
98194,1,0,0,0,WA,0,0,,1,0,1
98195,4,1,0,0,WA,0,0,,5,0.2,0.8
98198,5,2,0,0,WA,34584,56364,0.390982691,7,0.285714286,0.714285714
98199,392,473,0,0,WA,19686,82882,0.322120285,865,0.546820809,0.453179191
98203,1,0,0,0,WA,34354,57119,0.367076167,1,0,1
98204,0,1,0,0,WA,39380,41517,0.598211194,1,1,0
98223,0,1,0,0,WA,40815,65863,0.227937061,1,1,0
98225,2,1,0,0,WA,46172,35765,0.576193653,3,0.333333333,0.666666667
98270,0,1,0,0,WA,45899,65130,0.312876616,1,1,0
98371,1,0,0,0,WA,20468,64335,0.29074095,1,0,1
98373,0,1,0,0,WA,22246,60056,0.411745478,1,1,0
98391,1,0,0,0,WA,44309,83560,0.139426325,1,0,1
98402,0,1,0,0,WA,6356,31500,0.728197305,1,1,0
98403,1,0,0,0,WA,7713,52763,0.557890129,1,0,1
98422,0,1,0,0,WA,20151,82585,0.203534198,1,1,0
98507,2,0,0,0,WA,0,0,,2,0,1
98597,1,0,0,0,WA,21557,55226,0.218753613,1,0,1
98607,1,0,0,0,WA,27899,79486,0.189053749,1,0,1
98908,0,1,0,0,WA,35240,58891,0.266921397,1,1,0
99224,1,0,0,0,WA,18289,56172,0.313833613,1,0,1
99301,0,1,0,0,WA,68191,56098,0.31299258,1,1,0